offset,IA,IB,IC,IN,VA,VB,VC,VN
317,1151843,1150543,1153793,1150543,10516575,10519718,10509244,10444307
318,1286398,1284448,1287698,1284448,11741991,11746180,11733612,11663438
319,1375451,1373501,1376751,1373501,12556839,12562076,12549508,12472003
320,1408602,1406652,1409902,1407302,12860575,12864764,12853243,12774691
321,1388452,1386501,1389752,1386501,12684618,12689854,12677286,12598734
322,1312399,1310449,1314349,1311099,11991263,11994405,11982884,11908521
323,1189544,1188244,1190844,1188894,10874774,10878963,10867442,10801458
324,1014037,1013387,1015338,1013387,9271260,9272308,9262881,9208419
325,807330,806680,808630,806030,7388101,7390196,7380769,7337828
326,571371,570721,572671,570071,5231580,5231580,5223201,5194922
327,299661,300311,300961,299011,2759802,2757707,2753518,2740950
328,30551,31201,32501,29901,300593,296403,293261,297451
329,-241160,-239209,-239209,-241160,-2172232,-2175374,-2178516,-2157569
330,-515470,-513520,-514170,-515470,-4677525,-4682762,-4682762,-4646105
331,-757279,-755329,-755329,-757929,-6887462,-6894794,-6893746,-6841378
332,-971137,-968537,-970487,-971787,-8838700,-8848127,-8844984,-8779001
333,-1157694,-1153794,-1155744,-1157044,-10536476,-10545903,-10540666,-10464208
334,-1289649,-1286399,-1288349,-1289649,-11752465,-11761892,-11757702,-11671818
335,-1374802,-1371552,-1373502,-1374802,-12529609,-12541130,-12534846,-12444772
336,-1409903,-1405353,-1408603,-1409903,-12846960,-12857434,-12852197,-12760029
337,-1388453,-1384552,-1387152,-1388453,-12659482,-12671003,-12664719,-12573598
338,-1316300,-1313050,-1314350,-1316300,-12000690,-12011164,-12004880,-11917949
339,-1187595,-1184345,-1186295,-1187595,-10828691,-10838117,-10833928,-10755375
340,-1020539,-1017289,-1019239,-1019889,-9299540,-9307919,-9304777,-9236698
341,-814481,-811881,-812531,-814481,-7425807,-7432091,-7429996,-7374486
342,-566822,-564222,-564872,-566822,-5162455,-5168739,-5167692,-5126844
343,-308112,-306812,-306812,-308762,-2809029,-2812171,-2813219,-2789129
344,-39002,-37702,-37702,-39652,-349820,-352962,-355057,-347725
345,245709,246359,247009,244409,2245547,2245547,2239262,2229836
346,507669,507669,508969,506368,4629346,4630393,4623062,4597925
347,749478,749478,751428,748828,6846614,6847661,6839283,6800530
348,975036,974386,976336,973736,8897352,8900494,8891067,8837652
349,1151843,1150543,1152493,1149893,10514481,10518670,10508197,10443260
350,1285748,1283798,1287048,1283798,11741991,11746180,11734659,11663438
351,1374801,1372851,1376101,1373501,12559981,12563124,12551603,12474098
352,1407952,1406652,1409902,1406652,12860575,12864764,12852196,12772596
353,1385851,1384551,1387151,1384551,12662623,12665765,12654244,12575692
354,1312399,1311099,1313699,1311099,11994405,11997547,11986026,11911663
355,1190194,1188894,1191494,1188894,10877916,10881058,10871632,10804600
356,1014688,1013387,1015988,1013387,9274402,9276497,9267071,9210513
357,807980,806680,809280,806030,7391243,7393338,7383911,7340970
358,571371,571371,572671,570071,5235769,5235769,5227390,5199111
359,300961,300961,301611,299661,2762944,2761897,2756660,2744092
360,31201,31851,32501,29901,302688,299545,296403,299545
361,-239859,-238559,-239209,-240510,-2165948,-2171185,-2172232,-2151285
362,-514820,-513520,-513520,-515470,-4674383,-4680668,-4680668,-4641915
363,-757279,-754679,-755329,-756629,-6884320,-6890604,-6888510,-6838236
364,-971137,-967887,-969837,-971137,-8836606,-8846032,-8841842,-8776906
365,-1157044,-1153794,-1155094,-1157044,-10534382,-10543808,-10538571,-10462114
366,-1289649,-1286399,-1288349,-1289649,-11748276,-11758749,-11753513,-11668676
367,-1374152,-1370902,-1373502,-1374802,-12530656,-12541130,-12534846,-12444772
368,-1409903,-1406003,-1408603,-1409903,-12849055,-12860576,-12853244,-12762124
369,-1388453,-1385202,-1387152,-1388453,-12656340,-12667861,-12660529,-12570456
370,-1316300,-1312400,-1315000,-1316300,-12002785,-12013259,-12006975,-11920043
371,-1188245,-1184345,-1186945,-1188245,-10831833,-10840212,-10836022,-10757470
372,-1020539,-1017939,-1019889,-1020539,-9303730,-9312109,-9308966,-9239840
373,-814481,-812531,-813181,-815131,-7431044,-7437328,-7436281,-7379723
374,-566822,-564872,-565522,-567472,-5165597,-5171881,-5170834,-5129986
375,-308762,-306812,-307462,-308762,-2813219,-2817408,-2818455,-2793319
376,-39652,-38352,-38352,-40302,-354009,-357151,-359246,-351915
377,245059,245059,246359,244409,2239262,2238215,2232978,2224599
378,507018,507018,508969,505718,4626204,4626204,4618872,4594783
379,760528,759878,762478,759878,6947161,6949256,6941924,6901077
380,974386,973736,976336,973086,8894210,8896304,8886878,8834510
381,1151193,1149893,1153143,1150543,10513433,10516575,10506102,10441165
382,1290948,1288998,1292248,1289648,11789122,11792264,11780743,11709522
383,1374801,1372851,1376751,1373501,12557887,12561029,12547413,12469908
384,1408602,1406652,1409902,1406652,12863717,12867906,12855338,12775738
385,1385851,1383901,1387151,1384551,12664718,12668907,12656339,12577787
386,1312399,1310449,1313699,1311099,11995453,11999642,11987074,11912711
387,1190844,1188894,1192144,1189544,10880011,10883153,10872679,10806695
